,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
277,Cylindropuntia ,Cholla ,Cactaceae ,Cactus ,,Full ,"Sandy, well-drained ","Acidic, neutral ","Spring, summer ","Green, red, pink, yellow, orange ","5-11, US ","North America, South America"
278,Chrysanthemum morifolium,"Chrysanthemum, mums, hardy mums",,Herbaceous perennials,Two to three feet tall,Full sun,Rich and moist,Slightly acidic to neutral,Late summer and fall,"Gold, white, off-white, yellow, bronze (rust), red, burgundy, pink, lavender, and purple",3 through 9,Asia and northeastern Europe
279,Coriandrum sativum,"Cilantro, coriander",,Annual herb,,,,,,,,
280,Pericallis × hybrida,"Cineraria, Florist's cineraria",Asteraceae,"Tender perennial, usually grown as annual","6–12 in. tall, 9–12 in. wide",Partial to full shade,Moist but well-draining,Acidic (5.5–6.0),Seasonal bloomer; blossoms 16 to 18 weeks after seed germination,Various (no yellow),9–11 (USDA),
281,Cinnamomum spp.,,,"Tree, shrub","3 to 60 feet tall, 2 to 20 ft. wide (depends on variety)","Full, partial","Loamy, well-drained",Acidic to neutral (6.2–7.2),Summer,"White, yellow",10–12 (USDA),Asia
282,Cymbopogon nardus,Citronella grass,,Perennial,"6 ft. tall, 4 ft. wide",Partial shade to full sun,"Moist, loamy, well-draining",Neutral,Summer to fall,Light brown,"10 to 12, USA",Asia
283,Silene dioica,"Red campion, red catchfly",Caryophyllaceae,Perennial,"2–3 ft. tall, 1–2 ft. wide","Full, partial","Loamy, sandy, well-drained","Neutral, alkaline","Spring, summer","Red, pink",5–8 (USDA),Europe
284,"Aloiampelos ciliaris, formerly Aloe ciliaris","Climbing aloe, Common climbing aloe",Asphodelaceae,"Perennial, Succulent",Up to 30 ft. tall,Full sun,Well-drained,"Acid, Alkaline, Neutral",Spring,"Red, Orange","9-11, USA",South Africa
285,Hydrangea anomala ,Climbing hydrangea,Hydrangeaceae,Vine,"30-50 ft. tall, 5-6 ft. wide","Full, partial","Moist, but well-drained",Acidic,"Spring, summer",White,4a–8a (USDA),
286,Bowiea volubilis,,Asparagaceae,"Bulb, vine, succulent","2 ft. tall, 4 to 8 in. wide","Full, partial","Silt, well-drained","Acidic, neutral (5.0-7.0)","Winter, spring","Green, yellow, white","10, 11",Africa
287,Clivia miniata,"Fire lily, natal lily, bush lily, clivia",Amaryllidaceae,Perennial,"2 ft. tall, 2–3 ft. wide",Partial,Well-drained,"Acidic, neutral",Winter,"Orange, yellow, cream, pink","10, 11",South Africa
288,Syzygium Aromaticum,"Clove, Clovos, Caryophyllus, lavangam",,"Spice, Tree",15-30 feet,Full Sun,"Rich, Loamy",6-7,Summer,White,"11-12, USA",Spice Islands/Moluccas (Indonesia)
289,Sequoia sempervirens,"Coast Redwood, Coastal Redwood",,Needled evergreen conifer,"60 to 100 ft. tall, 35 ft. wide in cultivation",Full sun,"Moist, rich, humusy, well-drained",6.5 slightly acidic,Non-flowering,Non-flowering,"7-9, USDA",Western United States
290,Leucothoe axillaris,"Coast Leucothoe, Coastal Doghobble, Fetterbush",Ericaceae,Shrub,"4 ft. tall, 6 ft. wide",Partial ,Moist but well-drained,Neutral to acidic,Spring ,"White, pink","6, 7, 8, 9",
291,Darlingtonia californica,Cobra lily,,Carnivorous,Up to 4 feet,Full sun,"Moist, well-drained",6-8,Spring,Red petals,7-10,North America
292,Celosia argentea var. cristata,Cockscomb,,"Annual, perennial","12 in. tall, 12 in. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral","Summer, fall","Red, pink, orange, yellow, white","9-12, USA","South America, Central America, Asia, Africa"
293,Encyclia cochleata,,,Epiphyte,Up to two feet tall depending on the variety,"Indirect, medium to bright","Well-drained mix such as fir bark, lava rock, river rocks or hardwood charcoal",5.5-6.5 ,Spring,"Purple, brown, yellow, green and fuchsia","9, 10, 11","Damp forests, woodlands and swamps of southern Florida, Mexico, the West Indies, and Central and South America"
294,Cocos nucifera,Coconut palm,,Perennial,,,,,,,,
295,Coffea arabica,"Coffee plant, Arabian coffee","Rubiaceae, Madder",Evergreen perennial,6–15 ft. tall and wide,"Bright, indirect light",Rich and moist,6.0-6.5 (slightly acidic),Spring,White,9–11 (USDA),"Ethiopia, tropical Africa"
296,Plectranthus scutellarioides,Coleus,Lamiaceae,Herbacious perennial (usually grown as an annual),6-36 in. tall and wide,Part shade to full shade,"Rich, moist, loose soil, well-drained",Slightly acidic to neutral (6.0 to 7.0),Seasonal,Blue to white,10-11 (USDA); grown as an annual everywhere,Asia
297,Brassica oleracea L. subsp. acephala,"Collard greens, collards, tree cabbage",,Biennial vegetable; usually grown as an annual,,Full sun to part shade,"Moist, fertile, well-drained",Slightly acidic (6.5 to 6.8),,,6 to 11 (USDA); grown as an annual in all zones,Mediterranean and Asia Minor
298,Aquilegia spp.,Columbine,Ranunculaceae,Perennial,"15-20 in. tall, 12-18 in. spread","Full, partial",Moist but well-drained soil,"Acidic, neutral","Spring, summer","Blue, orange, pink, purple, red, white, yellow",,"Europe, North America"
299,Aquilegia spp.,Columbine,Ranunculaceae,Herbaceous perennial,"1-3 ft. tall, 1-2 ft. wide",Full or partial,"Sandy, loamy, moist but well-drained",Neutral to slightly acidic,Spring to summer,"Red, orange, yellow, blue, purple, violet, pink, white",Zones 3 to 8,"North America, Europe, Asia"
300,Symphytum officinale,,Boraginaceae,"Herbaceous, perennial","12-36 in. tall, 9-30 in. wide","Full, partial","Loamy, well-drained",Neutral,Spring,"Purple, pink, white",4-8 (USDA),"Europe, Asia"
301,Lamprocapnos spectabilis (formerly Dicentra spectabilis),,,Herbaceous perennial flower,,,,,,,,
302,Corylus avellana,"Common hazel, hazenut tree",,Deciduous shrub or small tree,"20 ft. tall, and 10 ft. wide",Full sun to part shade,"Moist, organically rich, well-drained",Adaptable,Early spring,Yellow and brown (Male),"4-8, USDA",Europe and Western Asia
303,Alcea rosea,Common hollyhock,Malvaceae,"Biennial, Herbaceous","6-8 ft. tall, 1 to 2 ft. wide",Full sun,"Moist, Well-drained","Acid, Neutral, Alkaline",Summer,"White, Pink, Red, Yellow, Lavender"," 2-10, USA",Turkey
304,Lonicera periclymenum,,,Deciduous shrub with a vine-like growth habit,12 to 20 ft. tall,Dappled sunlight,"Moist, well-drained soils",Neutral; tolerates both acidic and alkaline,"Spring, summer, fall",," 5-9, USDA","Europe, Northern Africa, Southwest Asia"
305,Hedera helix,"English ivy, common ivy, European ivy",Araliaceae,"Perennial, evergreen climbing vine",N/A; climbs and spreads as much as possible,Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow",4-13 (USDA),"Europe, Scandinavia, Russia"
306,Juniperus communis,Common juniper,Cupressaceae,Shrub,"6 in.–15 ft. tall, 1–12 ft. wide",Full,Well-draining,"Acidic, neutral, alkaline",,,2-7 (USDA),"North America, Europe, Asia"
307,Artemisia vulgaris,Common mugwort,,Herbaceous perennial,Up to 6 feet tall,Full sun / partial shade,Tolerates a variety of well-drained types,Tolerates a variety,Summer and early fall,Yellowish to reddish-brown,3 to 8,"Asia, Europe and North Africa"
308,Cydonia oblonga,Common Quince,,Tree,12-15 ft. tall 9-12ft. wide,Full Sun,"Fertile, Moist, Good Drainage",Acidic,April-May,Pale Whilte To Pink,,West Asia
309,Ruta graveolens,"Rue, common rue, garden rue, herb of grace",Rutaceae,"Perennial, herb",,Full sun,Well-drained,"Acidic, neutral, alkaline (6.5 to 8.5)",Summer,,4–10 (USDA),Europe
310,Tanacetum vulgare,,,Herbaceous perennial flowering plant,"2 to 4 feet tall, 12- to 18-inch spread",Full sun to part shade,"Well-drained, fertile soil",4.8 to 7.5,July and August,Yellow,3 to 8 (USDA),"Temperate regions of Europe and Asia, naturalized over much of North America"
311,Echinacea 'Firebird',"Coneflower, echinacea",,"Herbaceous, perennial",36 inches in height with a 36-inch spread,"Full, partial","Well-drained, sandy, clay, loamy",6.5 to 7.0,June through October,Reddish-orange,4 to 8 (USDA),North America
312,Corylus avellana 'Contorta',"Harry Lauder's walking stick, contorted filbert, corkscrew hazel, European filbert, European hazelnut, cobnut",Betulaceae,Shrub,"8–10 ft. tall, 8-10 ft. wide",Full sun to partial shade,"Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow,4–8 (USDA),Europe
313,Aloe Striata,Coral aloe,,Succulent,Up to 24 in. tall,"Full, partial","Well-draining, loamy, sandy","Acid, neutral, alkaline","Winter, spring",Orange,"9 - 11, USA",Africa
314,Acer palmatum 'Sango-kaku',Coral bark maple,,Deciduous tree,"15-20 ft. tall, 15 ft. wide",Full sun to part Shade,Well-draining soil,Acidic,Early spring,,6b-8a (USDA),"Japan, China"
315,Erythrina herbacea,"Coral bean, red cardinal, cardinal spear, mamou plant",,"Perennial, shrub",8–10 feet tall,"Full, partial","Sandy, well-drained",5.4 to 7.6 (acidic to neutral),Spring,Red,8–11 (USDA),"North America, Central America"
316,Heuchera spp.,"Coral bells, alumroot, rock geranium",Saxifragaceae,Perennial,"8–18 in. tall, 12–24 in. wide","Full, partial","Rich, moist but well-drained","Acidic, neutral","Spring, summer","Red, white, pink, orange",4a–9a (USDA),North America
317,Lonicera sempervirens,"Coral honeysuckle, trumpet honeysuckle",,"Evergreen, perennial, vine","15-25 ft. tall, 15-25 ft. wide","Full, partial","Loamy, sandy, clay, well-drained","Acidic, neutral","Spring, summer","Red, pink, orange, yellow","4-11, USA",North America
318,Cordyline terminalis,"Cordyline, Hawaiian ti plant, good luck plant",Asparagaceae,Evergreen shrub,2-4 ft. tall and wide,"Full-sun, partial sun",Well-draining,"Neutral to acidic, 6-6.5",Summer,"White, pink, lavender",9-12 (USDA),"Pacific Islands, Southeast Asia"
319,Vigna caracalla,Corkscrew vine,,Vine,12-30 feet,Full sun,"Moist, well-drained",6-8,Late summer/Fall,"White, purple",9-12,Central and South America
320,"Salix matsudana 'Tortuosa', S. matsudana 'Koidzumi'","Corkscrew willow, Pekin willow, Hankow willow, twisted-twig willow, contorted willow, curly willow",Salicaceae,Tree,"30-40 ft. tall, 15-20 ft. wide","Full, partial","Loamy, sandy, clay, moist","Acidic, alkaline",Spring,"Yellow, green",4-8 (USDA),Asia
321,Dracaena fragrans,,Asparagaceae,"Broadleaf, evergreen, shrub/tree","15–50 ft. tall, 3–10 ft. wide outdoors; container-grown plants can grow up to 6 ft. tall",Partial,"Moist, well-draining, loamy",6.1 to 6.5 (Acidic),Late fall and then again in late spring; nighttime bloomer,"White, yellow",10–12 (USDA),Africa (tropics)
322,Valerianella locusta,"Mâche, corn salad, lamb's lettuce, field lettuce",,Herbaceous annual,,Full sun to part shade,"Well-draining, rich",Slightly acidic to neutral (6.5–7.0),,,5–8; grown as an annual in zones 2–10 (USDA),"Europe, North Africa, Western Asia"
323,Cornus mas,,,Deciduous shrub/ tree,15 to 25 feet tall; 15- to 20-foot spread,Full sun to part shade,"Medium moisture, well-drained soil",5.0 to 8.0 (acidic to slightly alkaline),March,Yellow,4 to 8 (USDA),"Southwestern Asia, Southern Europe"
324,Mentha requienii,Corsican mint ,,Perennial,1/4 in. tall,Full sun to part shade,Well-drained ,5.6 to 7.0 (acidic to neutral),June through August ,Light purple ,7 to 11 (USDA) ,
325,"Cosmos sulphureus, Cosmos bipinnatus ","Cosmos, Mexican aster, cut-leaf cosmos",Asteraceae,Annual,"1-6 ft. tall, 1-3 ft. wide",Full,Well-draining soil,6.0–6.8 (Acidic),Summer through fall,"Golden yellow, white, pink, magenta, orange, yellow, red, chocolate",2–11 (USDA),"northern South America, Central America, and southern North America"
326,Anthemis tinctoria,"Cota tinctoria, golden marguerite, yellow chamomile ",,Perennial,2 to 3 feet tall and 1 to 1.5 feet wide,Full sun,Average to dry,Neutral to alkaline,Summer,Yellow,3 to 7,Europe
327,Hibiscus mutabilis,Cotton rose,Malvaceae,Shrub,"6–15 ft. tall, 6–10 ft. wide","Full, partial","Loamy, well-drained","Neutral, alkaline","Summer, fall","White, pink, red",7–11 (USDA),Asia
328,Vigna unguiculata,"Black-eyed pea, cowpea, southern pea, field pea",,Annual vegetable,2 to 6 feet (both bush and vine types are available),Full sun,Sandy,Acidic to neutral (5.8 to 7.0),Summer,"Yellow, pink, purple, white; not showy","Annual plants, grown in all zones",West Africa
329,Campanula rapunculoides,"Creeping bellflower, rampion bellflower",,Herbaceous perennial,"2–4 ft. tall, 1–3 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,July to September,"Lavender, purple",3–9 (USDA),Europe
330,Juniperus horizontalis,"Creeping Juniper, Creeping Cedar",,Evergreen shrub,Up to one foot,Full Sun,"Tolerates a variety, but must be well-drained",Not particular,"only foliage, no flowers",green,3 to 9,North regions of North America
331,Mazus reptans or Mazus miquelii,Creeping mazus,Mazaceae,Herbaceous perennial,"2–3 in. tall, 6–12 in. wide","Full, partial","Moist, well drained",Acidic to alkaline (5.5–8.0),Summer,White to blue-violet,5–8 (USDA),Central Asia (Himalayas)
332,Phlox stolonifera,"Creeping phlox, moss phlox, star rock phlox",Polemoniaceae,"Herbaceous, perennial","6–12 in. tall, 9–18 in. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer","Purple, pink, white","5–9, USA",North America
333,Veronica filiformis,"Creeping Speedwell, Slender Speedwell",Plantaginaceae,"Perennial, groundcover","2-5 in. tall, 20-30 in. wide","Full, partial","Loamy, sandy, clay, moist but well-drained",Neutral,"Spring, summer","Pink, blue, purple","3-9, USA","Europe, Asia"
334,Thymus spp.,Creeping thyme,Lamiaceae,"Herbaceous, perennial","2-6 in. tall, 6-18 in. wide",Full,"Well-drained, sandy","Neutral, alkaline",Summer,"Pink, white, purple",2–9 (USDA),Europe
335,Muehlenbeckia axillaris,"Creeping Wire Vine, Sprawling Wirevine, Matted Lignum",,Prostrate evergreen shrub,Up to 6 inches,Full Sun/ Partial Shade,"Tolerates a variety, but must be well-drained",Not particular,Late spring,White,5 to 9,New Zealand and Australia
336,Sanvitalia procumbens,"Creeping zinnia, Mexican creeping zinnia",Asteraceae,Herbaceous annual ,"4–6 in. tall, 12–18 in. wide",Full to part sun,Well-drained,Acidic to slightly alkaline (5.5–7.5),Summer,"Yellow, orange","2–11 (true annual, grown in all USDA zones) ","Central America (Mexico, Guatemala)"
337,Lagerstroemia indica,Crepe Myrtle,,Deciduous tree / large shrub,"6-25 ft. tall, 6-20 ft. wide",Full sun,"Average, medium moisture, well-drained",6.0-6.5,July-September,Red-rose,USDA 6-9,"China, Indochina, Himalayas, Japan"
338,Acer palmatum var. dissectum 'Crimson Queen',Crimson Queen Japanese Maple Tree,,Deciduous dwarf tree,8 to 10 feet tall by 10 to 12 feet wide,"Full sun, part shade","Organically rich, sandy, loamy",Slightly acidic,April,Red,5 to 9,"Japan, Korea, China, Eastern Mongolia, Southeast Russia"
339,Microsorum musifolium,Crocodile fern,,Houseplant or perennial,2-5 ft. tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,,,10-11 (USDA),Southeast Asia and Australia
340,Crocus spp.,Crocus,,Perennial bulb,"6 inches tall, 1 to 3 inches wide",Full sun to part sun,Any well-draining soil,Neutral (6.0 to 7.0),Spring,"Purple, blue, yellow, orange, pink, white",3 to 8 (USDA),"Europe, North Africa, Asia"
341,Crossandra infundibuliformis,"Crossandra, firecracker flower",Acanthaceae,"Annual, perennial","1-3 ft tall, 1-2 ft wide",Partial,"Loamy, well-draining",Acidic,"Spring, summer, fall","Orange, pink, red",10-11 (USDA),Asia
342,Codiaeum variegatum,"Croton, garden croton",Euphorbiaceae,Evergreen shrub,"3 to 8 ft. tall, 3 to 6 ft. wide","Full, partial","Moist, well-draining",Acidic (4.5 to 6.5),"Year-round, although indoor plants rarely flower",Yellow,11a-12b USDA,Tropical Asia and Pacific regions
343, Glebionis coronaria,, Asteraceae, Annual," 2 to 4 ft. tall, 1 to 2 ft. wide"," Full sun, part shade"," Sandy, clay, silt, loam, well-drained", Acidic to alkaline (6.1 to 7.8), Summer, Yellow and white," 5-9, USA", Mediterranean
344,Fritillaria imperialis,,Liliaceae,"Perennial, bulb","1-3 ft. tall, 8-12 in. wide","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Spring,"Red, orange, yellow",5-9 (USDA),Asia
345,Cryptanthus spp.,"Cryptanthus bromeliad, cryptanthus, earth star",,Terrestrial bromeliad,3 inches to 3 feet (varies by species),Bright indirect light; resents direct sunlight,Bromeliad potting mix,4.0–6.0 (acidic),Blooms once only ,White (but generally grown for foliage),10–11 (USDA),Brazil
346,Melothria scabra,"Cucamelon, mouse melon, Mexican sour gherkin, sandita",Cucurbitaceae,"Annual, fruit",,Full sun,Humusy-rich and well-drained,Acidic (6.1 to 6.8),"Spring, summer",,2–11 (USDA),Central America
347,Cucumis sativus ,,,Annual ,"9 to 18 inches tall, 3 to 8 feet wide ",Full sun to partial shade ,"Rich, well-draining ",Acidic to neutral (5.5 to 7.0) ,Seasonal ,Yellow ,4 to 11 (USDA),Asia 
348,Magnolia acuminata,"Cucumber tree, cucumber magnolia",Magnoliaceae,Tree,"50–80 ft. tall, 35–60 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow-green,4–8 (USDA),North America
349,Cobaea scandens,,,Perennial vine (typically grown as an annual),"10–20 ft. long, 3–6 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer","Green, maturing to purple",9–11 (USDA),Mexico
350,Nierembergia spp.,"Nierembergia, cupflower",Solanaceae,Tender perennial usually grown as an annual,"6–30 in. tall, 6–18 in. wide (varies by species)","Full, partial","Rich, moist but well-drained",Acidic to alkaline,Mid-summer to early fall,"Blue, purple, white",7-10 (USDA),South America
351,Silphium perfoliatum,Cup plant,,Herbaceous perennial,4 to 8 feet,Full sun,Clay or wet soil,6.6 to 7.5 or 7.6 to 7.8,July to September,Yellow,3 to 9,Eastern-central Canada to southeastern United States
352,Murraya koenigii,"Curry tree, curry leaf tree, curry plant, sweet neem, meethi neem, kadhi patta",Rutaceae,Tree,"6-20 ft. tall, 4-12 ft. wide",Full,Well-drained,Acidic,"Spring, summer, fall",White,9-12 (USDA),Asia
353,Cyclamen persicum,"Cyclamen, florist's cyclamen, Persian cyclamen, Persian violet",Primulaceae,Perennial,6–9 in. tall and wide,Partial,"Loamy, moist, well-drained",Acidic,Fall to spring,"Pink, white, red, violet","9–11 (USDA), but typically grown as a houseplant",
354,Cymbidium,"Cymbidium orchid, boat orchid",,Evergreen flower,Around 2 feet tall,Partial sun,"Loamy, moist, well-draining",5.5 to 6.5,Mid-autumn to mid-spring,"Pink, green, yellow, white",10 to 12,Asia and Australia
355,Ipomoea quamoclit,"Cypress vine, red cypress vine, Indian pink, star glory, hummingbird vine",,Annual vine,"6-15 ft. in length, spread of 3-6 ft.",Full sun,"Fertile, well-drained, and kept evenly moist",Neutral to slightly acidic or slightly alkaline,June to October,"Red; less commonly, pink or white",11-12 (USDA),Tropical America
356,Narcissus spp.,"Daffodil, narcissus",Amaryllidaceae,"Bulb, perennial","6–30 in. tall, 6–12 in. wide ","Full, partial","Rich, moist but well-drained","Neutral, acidic",Spring,"Yellow, white, orange, red, pink",4–8 (USDA) ,"Europe, North Africa"
357,Dahlia spp.,Dahlia,Asteraceae,Perennial,"1-6 ft. tall, and 1-3 ft. wide",Full,"Loamy, well-drained","Neutral, acidic","Summer, fall","Red, pink, orange, yellow, purple, white",8-10 (USDA),"North America, Central America"
358,Ilex cassine,Dahoon holly,Aquifoliales,Broadleaf evergreen tree,"20–30 ft. tall, 10–15 ft. wide","Full, partial",Moist but well-drained,Acidic to neutral (5.5–7.0),Spring to early summer,"White (female), greenish white (male)",7–11 (USDA),North America (southeastern U.S.)
359,Campanula portenschlagiana (formerly known as C. muralis),"Dalmatian bellflower, Adria bellflower, wall bellflower",Campanulaceae,"Herbaceous, perennial","3-6 in. tall, 6-12 in. wide","Full, partial",Moist but well-drained soil ,"Neutral, alkaline",Spring,"Purple, blue",4-8 (USDA),Mediterranean 
360,Chrysactinia mexicana,Damianita daisies,,Perennial,"1–2 ft. tall, 1–2 ft. wide",Full,Well-drained,"Acidic, neutral to acidic, alkaline","Spring, summer, fall",Yellow,"8, 9, 10 (USDA)","Mexico, Southwestern United States"
361," Daphne spp., Daphne x hybrids", Daphne,, Broadleaf evergreen shrub," 1–5 feet tall, 2–6 feet across (depends on variety)", Full sun to part shade," Moist, well-draining soil", 5.5–6.4 (slightly acidic), Spring, White to light pink, 4–9 (USDA)," Europe, Asia, Africa"
362,Musa sikkimensi,Darjeeling banana,,"Herbaceous perennial, often grown as a houseplant",12–15 feet tall,Full sun to part shade,"Rich,well-draining",Slightly acidic to neutral,Summer ,Deep red or purple,5–9 (USDA),"Asia (Bhutan, India)"
363,Ocimum basilicum 'Dark Opal',Dark Opal Basil,,Annual herb,Up to 20 inches,Full sun,"Loamy, sandy, well-drained",Tolerates a wide range,Late summer,Purple foliage,9 to 11,Tropical Central Africa to Southeast Asia 
364,Phoenix dactylifera,Date palm,Arecaceae,Tree,,Full sun,"Sandy, loamy, well-drained","Acidic, neutral, alkaline",Spring,,8–11 (USDA),"Africa, Middle East"
365,Metasequoia glyptostroboides,Dawn redwood,Cupressaceae,Tree,"75-100 ft. tall, 15-25 ft. wide",Full,"Loamy, well-drained",Acidic,,,4-8 (USDA),Asia
366,Hemerocallis spp.,,Liliaceae,Herbaceous perennial,"6 in. to 5 ft. tall, 2-4 ft. wide",Full sun (tolerates part shade/light woodland),Deep fertile medium loamy soil (tolerates light sandy or heavy clay) ,Acidic,Spring to late summer ,"Red, orange, yellow, purple, pink","3-10, USA",Asia and Central Europe
367,Dendrobium spp.,Dendrobium orchid,Orchidaceae,Perennial,"6-48 in. tall, 6-48 in. wide",Partial,Moist but well-drained,Acidic,"Spring, summer, fall","White, yellow, orange, green, pink, purple, brown",9–12 (USDA),Asia
368,Cedrus deodara,"Deodar Cedar, Himalayan Cedar",,Evergreen coniferous tree,"40 to 70 feet tall, 20 to 40 feet wide",Full sun,"Loamy, moist, sandy, clay, well-drained",Slightly acidic (adapts to neutral and slightly alkaline soils),Non-flowering,Non-flowering,7 to 9 (USDA),Western Himalayas
369,Salvia dorrii,"Purple sage, tobacco sage, desert sage",,Herbaceous perennial shrub,"1–3 ft. tall, 2–4 ft. wide ",Full,Well-drained,"Acidic, neutral, alkaline","Spring, summer","Purple, blue",6–10 (USDA),Western United States
370,Chilopsis linearis,Desert willow,,Deciduous Shrub,12-18 ft. tall -12-18 ft. wide,Full sun,Dry to medium moisture,6.6-8.5,May to June,Dark pink,USDA 6-9,Southwestern United States and Mexico
371,Euphorbia hypericifolia,"Baby's-breath euphorbia, graceful spurge, diamond frost euphorbia",,Evergreen perennial (also grown as an annual),"1–2 ft. tall, 1–2 ft. wide","Full sun, partial shade","Loamy, well-drained",Neutral to acidic,"Late spring, summer",White,10–11 (USDA),North America
372,"D. plumarius, D. superbus, D. deltoides ","Dianthus flowers, pinks, garden pinks, cheddar pinks, clove pinks, gillyflower",Caryophyllaceae,Perennial ,"6–36 in. tall, 6–24 in. wide",Full sun,Moist but well-drained ,Neutral to acidic,"Spring, summer, fall ","White, lilac, red, pink","3-9, USA",
373,Dieffenbachia spp.,,Araceae,Herbaceous perennial (usually grown as a houseplant),"3–10 ft. tall, 2–3 ft. in width",Part shade or bright indirect light,"Peaty, well-drained potting soil",6.1–6.5 (slightly acidic),Seasonal bloomer,White,10–12 (USDA),"Caribbean, South America"
374,Dictamnus albus,"Gas plant, burning bush, dittany",,"Perennial, herbaceous",Up to 3 ft. tall,Full sun,"Loamy, sandy, chalky, clay","Neutral, alkaline",Summer,"Pink-purple, White, Red","3-8, USA","Europe, Asia"
375,Rosa canina,"Dog rose, briar rose, cankerberry",Rosaceae,"Shrub, rose","3–15 ft. tall, 3–15 ft. wide",Full,"Moist, well-drained","Acidic, neutral, alkaline","Spring, summer","Pink, white",5–9 (USDA),"Europe, Africa, Asia"
376,"Strophocactus testudo, Selenicereus testudo","Dog Tail Cactus, Pitaya De Tortuga",,Perennial succulent,Up to 3 meters,Full sun/ Partial shade,Tolerates a variety,Tolerates a variety,Summer,White,7 to 11,Tropical South America
377,Actaea pachypoda,,,Herbaceous perennial,1.5 to 2.5 feet tall and 2 to 3 feet wide,"Part shade, shade","Moist, well-drained, and humus-rich",Less than 6.8,Spring,White,3–8,
378,Viburnum plicatum f. tomentosum 'Mariesii',Doublefile viburnum,,Deciduous shrub,"Eight to 16 feet in height, 12 to 15 feet in spread",Full sun to part shade,"Prefers loam, but will do well in any medium-moisture, well-drained soil","5.6 to 6.6, slightly acid; will also tolerate slightly alkaline soils",Spring (April and May in most regions),White,"5 to 8, USDA",
379,Clematis Dr. Ruppel,"Dr. Ruppel clematis, Doctor Ruppel clematis, Dr. Ruppel virgin's bower",,Deciduous  perennial  flowering vine,12 feet tall,Full sun to partial sun,"Fertile, well-drained, and kept evenly moist",Neutral,June,Pink,4 to 8,Several regions across both the Northern Hemisphere and Southern Hemisphere
380,Dracaena spp. (also Cordyline spp.),,,"Broadleaf evergreens, usually grown as houseplants",Varies by species; usually under 10 feet when grown as houseplants,Most species prefer part shade or bright filtered light,"Rich, moist soil; peat-based potting mix",6.0 to 6.5 (slightly acidic),Varies; flowers are generally insignificant,Varies by species,10 to 12 (USDA); usually grown as houseplants,"Tropical Africa, southern Asia, Australia,"
381,Dracunculus vulgaris,"Dragon lily, Voodoo lily, Stink lily, Black lily, Snake lily",,Perennial,4 to 6 ft. tall,Full sun to partial shade,"Rich, moist, well-draining",Neutral,"Late spring, early summer",Purple-black or deep maroon,"7 to 10, USA","Algeria, Southeast Europe, Turkey"
382,Dracaena marginata,,Asparagaceae,Broadleaf evergreen,"15–20 ft. tall, 3–10 ft. wide","Full sun, partial shade","Loamy, well-drained",Neutral to acidic,Spring (rarely flowers indoors),White,10–12 (USDA),
383, Dracaena draco," Dragon tree, dragon's blood plant, drago",, Broadleaf evergreen tree, 15–50 feet (but very slow-growing), Full sun to part shade," Any well-drained, porous soil", 6.0–6.5 (slightly acidic), Begins producing a single flower after 10–15 years, White, 9–12 (USDA),"The Canary Islands, northwest coastal Africa"
384,Hylocereus undatus,"Dragon fruit, pitahaya, strawberry pear, Honolulu queen, moonlight cactus",,Cactus,"10–20 ft. tall, 5–10 ft. wide","Full sun, partial shade","Sandy, well-drained",Neutral to acidic,"Spring, summer, fall, winter",White,10–12 (USDA),"Mexico, Central America, South America"
385,"Lemna minor (Previously known as Lemna cyclostasa, Lemna minima)","Common Duckweed, Lesser Duckweed",,Aquatic plant,"Starts 1/16 to 1/8 of an inch long, rapidly spreads, potentially invasive",Full sun,,,Summer (if it blooms),Green,"4-10, USDA","Central America, North America except Hawaii and South Carolina"
386,Dudleya,Liveforever,Crassulaceae,"Succulent, perennial","24 in. tall, 18 in. wide","Full, Partial","Sandy, well-drained","Acidic, Neutral, Alkaline",Spring,"Red, Pink, Yellow","5-11, USA","North America, Central America"
387,Duranta erecta,"Duranta plant, duranta, golden dewdrops, sky flower, pigeon berry",,Tropical broadleaf evergreen shrub,"2-4 ft. tall, 1-2 feed wide (when grown as an annual); up to 18 feet tall as a perennial in warm-winter zones.",Full,Rich loam; tolerates rocky soil,Acidic to slightly alkaline (5.6—7.5),Spring through frost,"Blue, violet, white",10—11 (USDA),Central and South America
388,Jacobaea maritima,"Dusty miller, silver dust, silver ragwort",Asteraceae,"Perennial, annual","1-2 ft. tall, 1-2 ft. wide",Full,"Average, well-drained",Acidic,Summer,Yellow,8–11 (USDA),Mediterranean
